date,PM2.5,PM10,station_name,latitude,longitude
2018-06-04,17.3,,US Embassy,51.128736,71.46939
2018-06-05,15.9,,US Embassy,51.128736,71.46939
2018-06-06,15.0,,US Embassy,51.128736,71.46939
2018-06-07,17.8,,US Embassy,51.128736,71.46939
2018-06-08,23.0,,US Embassy,51.128736,71.46939
2018-06-09,19.2,,US Embassy,51.128736,71.46939
2018-06-10,15.9,,US Embassy,51.128736,71.46939
2018-06-11,21.6,,US Embassy,51.128736,71.46939
2018-06-12,21.6,,US Embassy,51.128736,71.46939
2018-06-13,26.8,,US Embassy,51.128736,71.46939
2018-06-14,22.1,,US Embassy,51.128736,71.46939
2018-06-15,20.2,,US Embassy,51.128736,71.46939
2018-06-16,22.6,,US Embassy,51.128736,71.46939
2018-06-18,21.1,,US Embassy,51.128736,71.46939
2018-06-19,21.6,,US Embassy,51.128736,71.46939
2018-06-20,23.0,,US Embassy,51.128736,71.46939
2018-06-21,22.6,,US Embassy,51.128736,71.46939
2018-06-22,22.6,,US Embassy,51.128736,71.46939
2018-06-23,16.9,,US Embassy,51.128736,71.46939
2018-06-24,20.7,,US Embassy,51.128736,71.46939
2018-06-25,18.3,,US Embassy,51.128736,71.46939
2018-06-26,23.5,,US Embassy,51.128736,71.46939
2018-06-27,19.2,,US Embassy,51.128736,71.46939
2018-06-28,18.3,,US Embassy,51.128736,71.46939
2018-06-29,15.4,,US Embassy,51.128736,71.46939
2018-06-30,22.1,,US Embassy,51.128736,71.46939
2018-07-01,21.1,,US Embassy,51.128736,71.46939
2018-07-02,19.7,,US Embassy,51.128736,71.46939
2018-07-03,19.7,,US Embassy,51.128736,71.46939
2018-07-04,15.9,,US Embassy,51.128736,71.46939
2018-07-05,17.3,,US Embassy,51.128736,71.46939
2018-07-06,16.9,,US Embassy,51.128736,71.46939
2018-07-07,14.5,,US Embassy,51.128736,71.46939
2018-07-08,18.8,,US Embassy,51.128736,71.46939
2018-07-09,18.8,,US Embassy,51.128736,71.46939
2018-07-10,19.2,,US Embassy,51.128736,71.46939
2018-07-11,17.8,,US Embassy,51.128736,71.46939
2018-07-12,20.2,,US Embassy,51.128736,71.46939
2018-07-13,19.2,,US Embassy,51.128736,71.46939
2018-07-14,33.5,,US Embassy,51.128736,71.46939
2018-07-15,25.9,,US Embassy,51.128736,71.46939
2018-07-16,27.8,,US Embassy,51.128736,71.46939
2018-07-17,24.0,,US Embassy,51.128736,71.46939
2018-07-18,23.5,,US Embassy,51.128736,71.46939
2018-07-19,22.1,,US Embassy,51.128736,71.46939
2018-07-20,24.9,,US Embassy,51.128736,71.46939
2018-07-21,25.9,,US Embassy,51.128736,71.46939
2018-07-22,17.3,,US Embassy,51.128736,71.46939
2018-07-23,26.8,,US Embassy,51.128736,71.46939
2018-07-24,32.1,,US Embassy,51.128736,71.46939
2018-07-25,44.4,,US Embassy,51.128736,71.46939
2018-07-26,23.0,,US Embassy,51.128736,71.46939
2018-07-27,31.6,,US Embassy,51.128736,71.46939
2018-07-28,23.0,,US Embassy,51.128736,71.46939
2018-07-29,16.9,,US Embassy,51.128736,71.46939
2018-07-30,20.7,,US Embassy,51.128736,71.46939
2018-07-31,17.3,,US Embassy,51.128736,71.46939
2018-08-01,19.2,,US Embassy,51.128736,71.46939
2018-08-02,24.9,,US Embassy,51.128736,71.46939
2018-08-03,32.1,,US Embassy,51.128736,71.46939
2018-08-04,34.4,,US Embassy,51.128736,71.46939
2018-08-05,25.9,,US Embassy,51.128736,71.46939
2018-08-06,20.2,,US Embassy,51.128736,71.46939
2018-08-07,26.4,,US Embassy,51.128736,71.46939
2018-08-08,21.6,,US Embassy,51.128736,71.46939
2018-08-09,19.7,,US Embassy,51.128736,71.46939
2018-08-10,20.7,,US Embassy,51.128736,71.46939
2018-08-11,16.9,,US Embassy,51.128736,71.46939
2018-08-12,15.9,,US Embassy,51.128736,71.46939
2018-10-01,33.0,,US Embassy,51.128736,71.46939
2018-10-02,22.6,,US Embassy,51.128736,71.46939
2018-10-03,26.4,,US Embassy,51.128736,71.46939
2018-10-04,19.7,,US Embassy,51.128736,71.46939
2018-10-05,20.2,,US Embassy,51.128736,71.46939
2018-10-06,24.5,,US Embassy,51.128736,71.46939
2018-10-07,18.8,,US Embassy,51.128736,71.46939
2018-10-08,21.6,,US Embassy,51.128736,71.46939
2018-10-09,14.5,,US Embassy,51.128736,71.46939
2018-10-10,32.1,,US Embassy,51.128736,71.46939
2018-10-11,29.2,,US Embassy,51.128736,71.46939
2018-10-12,16.4,,US Embassy,51.128736,71.46939
2018-10-13,19.2,,US Embassy,51.128736,71.46939
2018-10-14,15.0,,US Embassy,51.128736,71.46939
2018-10-15,28.7,,US Embassy,51.128736,71.46939
2018-10-16,26.4,,US Embassy,51.128736,71.46939
2018-10-17,19.2,,US Embassy,51.128736,71.46939
2018-10-18,16.4,,US Embassy,51.128736,71.46939
2018-10-19,15.4,,US Embassy,51.128736,71.46939
2018-10-20,13.5,,US Embassy,51.128736,71.46939
2018-10-22,21.6,,US Embassy,51.128736,71.46939
2018-10-23,16.4,,US Embassy,51.128736,71.46939
2018-10-24,23.5,,US Embassy,51.128736,71.46939
2018-10-25,29.7,,US Embassy,51.128736,71.46939
