Model,Horizon_Day,RMSE
MLR,1,13.9252
MLR,2,16.1081
MLR,3,17.1187
MLR,4,17.9024
MLR,5,18.5896
MLR,6,18.4235
MLR,7,18.9437
RF,1,15.2637
RF,2,15.8265
RF,3,16.0523
RF,4,16.4336
RF,5,16.7466
RF,6,16.7533
RF,7,16.7135
XGBoost,1,13.2045
XGBoost,2,14.5029
XGBoost,3,14.4673
XGBoost,4,16.4421
XGBoost,5,16.914
XGBoost,6,17.1613
XGBoost,7,17.4138
LSTM,1,16.5181
LSTM,2,15.8765
LSTM,3,16.3698
LSTM,4,16.2066
LSTM,5,16.2966
LSTM,6,16.1108
LSTM,7,16.7929
CNN-LSTM,1,16.348
CNN-LSTM,2,15.8319
CNN-LSTM,3,15.6224
CNN-LSTM,4,15.3228
CNN-LSTM,5,16.1097
CNN-LSTM,6,16.2281
CNN-LSTM,7,16.2991
