date,station_name,pm25,temperature,humidity,pressure,wind_speed
2025-03-17,Kazhydromet-14,3.16,0.5,79.0,978.6,24.5
2025-03-18,Kazhydromet-14,3.0,2.9,82.0,979.4,22.0
2025-03-19,Kazhydromet-14,2.98,2.6,77.0,978.1,20.0
2025-03-20,Kazhydromet-14,2.27,2.8,77.0,972.4,20.5
2025-03-21,Kazhydromet-14,3.33,0.5,90.0,974.9,13.1
2025-03-22,Kazhydromet-14,4.7,-3.4,83.0,986.1,7.5
2025-03-23,Kazhydromet-14,4.7,-4.0,88.0,981.1,11.9
2025-03-24,Kazhydromet-14,4.7,-5.2,77.0,980.6,18.8
2025-03-25,Kazhydromet-14,4.7,-7.8,78.0,993.3,8.8
2025-03-26,Kazhydromet-14,4.7,-5.9,85.0,995.9,5.1
2025-03-27,Kazhydromet-14,4.7,-2.1,78.0,991.3,15.1
2025-03-28,Kazhydromet-14,3.41,-0.4,72.0,988.2,16.0
2025-03-29,Kazhydromet-14,3.41,1.0,77.0,987.9,11.5
2025-03-30,Kazhydromet-14,3.41,0.9,73.0,988.3,4.4
2025-03-31,Kazhydromet-14,3.41,2.6,75.0,985.3,10.0
2025-04-01,Kazhydromet-14,2.56,3.5,86.0,981.1,13.6
2025-04-02,Kazhydromet-14,2.64,4.1,72.0,983.1,4.2
2025-04-03,Kazhydromet-14,2.2,7.7,60.0,972.9,20.5
2025-04-04,Kazhydromet-14,2.31,7.2,79.0,957.7,22.4
2025-04-05,Kazhydromet-14,1.78,4.8,67.0,973.1,17.6
2025-04-06,Kazhydromet-14,2.82,9.0,67.0,974.6,14.3
2025-04-07,Kazhydromet-14,1.63,8.9,72.0,970.0,14.1
2025-04-08,Kazhydromet-14,2.4,12.3,73.0,968.7,11.8
2025-04-09,Kazhydromet-14,2.54,10.7,75.0,979.3,6.2
2025-04-10,Kazhydromet-14,1.88,13.6,63.0,978.8,14.6
2025-04-11,Kazhydromet-14,1.5,15.8,48.0,973.4,19.6
2025-04-12,Kazhydromet-14,1.63,15.7,54.0,968.5,18.5
2025-04-13,Kazhydromet-14,2.06,6.5,85.0,973.0,16.7
2025-04-14,Kazhydromet-14,2.9,8.2,70.0,978.5,8.9
2025-04-15,Kazhydromet-14,1.67,8.2,77.0,978.7,9.6
2025-04-16,Kazhydromet-14,1.65,7.4,62.0,980.4,14.4
2025-04-17,Kazhydromet-14,1.96,5.1,56.0,974.0,21.9
2025-04-18,Kazhydromet-14,1.19,1.7,56.0,976.5,17.1
2025-04-19,Kazhydromet-14,1.44,-0.1,48.0,980.9,7.8
2025-04-20,Kazhydromet-14,1.56,12.3,54.0,974.9,22.9
2025-04-21,Kazhydromet-14,1.12,14.5,67.0,978.0,14.6
2025-04-22,Kazhydromet-14,1.1,14.8,70.0,980.6,10.4
2025-04-23,Kazhydromet-14,1.52,15.5,59.0,977.9,13.1
2025-04-24,Kazhydromet-14,2.0,11.4,65.0,982.2,15.0
2025-04-25,Kazhydromet-14,1.69,14.9,60.0,977.8,11.0
2025-04-26,Kazhydromet-14,1.78,17.5,48.0,971.2,18.6
2025-04-27,Kazhydromet-14,1.74,17.0,69.0,965.3,11.2
2025-04-28,Kazhydromet-14,0.74,17.7,67.0,967.8,17.7
2025-04-29,Kazhydromet-14,1.09,8.9,47.0,973.6,27.2
2025-04-30,Kazhydromet-14,1.12,5.9,55.0,986.4,9.6
2025-05-01,Kazhydromet-14,3.4050000000000002,8.65,54.0,983.9,11.05
2025-05-02,Kazhydromet-14,5.69,11.4,53.0,981.4,12.5
2025-05-03,Kazhydromet-14,3.78,11.5,55.0,984.9,10.8
2025-05-04,Kazhydromet-14,4.5,16.0,46.0,970.5,19.9
2025-05-05,Kazhydromet-14,4.86,14.1,53.0,975.3,12.4
2025-05-06,Kazhydromet-14,4.26,17.0,55.0,977.7,8.7
2025-05-07,Kazhydromet-14,4.28,18.4,54.0,972.1,6.9
2025-05-08,Kazhydromet-14,4.43,20.8,46.0,967.7,11.9
2025-05-09,Kazhydromet-14,3.35,19.7,56.0,964.1,13.9
2025-05-10,Kazhydromet-14,4.62,17.7,65.0,968.8,20.0
2025-05-11,Kazhydromet-14,2.49,14.1,75.0,975.7,13.1
