date,PM2.5,PM10,station_name,latitude,longitude,temperature,humidity,pressure,wind_speed,precipitation
2018-06-04,17.3,,US Embassy,51.128736,71.46939,14.1,60,970.4,19.3,2.5
2018-06-05,15.9,,US Embassy,51.128736,71.46939,19.6,41,974.1,18.6,0.0
2018-06-06,15.0,,US Embassy,51.128736,71.46939,21.9,37,975.1,11.4,0.0
2018-06-07,17.8,,US Embassy,51.128736,71.46939,21.5,40,968.5,10.1,0.0
2018-06-08,23.0,,US Embassy,51.128736,71.46939,20.1,57,965.0,13.0,3.9
2018-06-09,19.2,,US Embassy,51.128736,71.46939,14.8,54,968.7,16.0,2.3
2018-06-10,15.9,,US Embassy,51.128736,71.46939,14.9,56,967.3,6.4,0.0
2018-06-11,21.6,,US Embassy,51.128736,71.46939,17.6,53,965.0,6.7,0.0
2018-06-12,21.6,,US Embassy,51.128736,71.46939,17.7,48,963.7,12.6,0.2
2018-06-13,26.8,,US Embassy,51.128736,71.46939,14.2,53,967.7,10.8,0.8
2018-06-14,22.1,,US Embassy,51.128736,71.46939,16.0,51,971.2,9.8,0.0
2018-06-15,20.2,,US Embassy,51.128736,71.46939,20.7,40,968.6,15.5,0.0
2018-06-16,22.6,,US Embassy,51.128736,71.46939,17.4,61,967.8,5.9,0.4
2018-06-18,21.1,,US Embassy,51.128736,71.46939,16.9,60,959.5,11.7,1.9
2018-06-19,21.6,,US Embassy,51.128736,71.46939,17.2,56,960.8,14.8,1.2
2018-06-20,23.0,,US Embassy,51.128736,71.46939,19.0,59,964.7,13.1,0.6
2018-06-21,22.6,,US Embassy,51.128736,71.46939,22.8,42,964.0,15.5,0.0
2018-06-22,22.6,,US Embassy,51.128736,71.46939,20.6,51,960.1,14.8,2.7
2018-06-23,16.9,,US Embassy,51.128736,71.46939,19.0,50,961.6,10.3,0.0
2018-06-24,20.7,,US Embassy,51.128736,71.46939,19.4,59,963.0,9.0,0.0
2018-06-25,18.3,,US Embassy,51.128736,71.46939,17.4,73,965.3,11.2,3.8
2018-06-26,23.5,,US Embassy,51.128736,71.46939,16.8,81,964.8,8.7,9.3
2018-06-27,19.2,,US Embassy,51.128736,71.46939,16.3,89,962.6,10.5,18.4
2018-06-28,18.3,,US Embassy,51.128736,71.46939,17.3,84,959.7,8.5,3.2
2018-06-29,15.4,,US Embassy,51.128736,71.46939,19.3,81,959.7,12.3,1.8
2018-06-30,22.1,,US Embassy,51.128736,71.46939,20.7,77,963.4,6.0,1.3
2018-07-01,21.1,,US Embassy,51.128736,71.46939,20.4,76,967.7,13.4,1.3
2018-07-02,19.7,,US Embassy,51.128736,71.46939,21.6,63,970.2,15.7,0.2
2018-07-03,19.7,,US Embassy,51.128736,71.46939,20.5,64,971.6,14.2,1.1
2018-07-04,15.9,,US Embassy,51.128736,71.46939,17.5,63,974.8,11.1,0.0
2018-07-05,17.3,,US Embassy,51.128736,71.46939,19.9,58,972.9,8.3,0.0
2018-07-06,16.9,,US Embassy,51.128736,71.46939,23.2,51,968.1,11.1,0.5
2018-07-07,14.5,,US Embassy,51.128736,71.46939,24.8,54,965.3,11.9,0.0
2018-07-08,18.8,,US Embassy,51.128736,71.46939,23.3,67,966.9,10.0,0.4
2018-07-09,18.8,,US Embassy,51.128736,71.46939,25.1,54,967.6,8.5,0.0
2018-07-10,19.2,,US Embassy,51.128736,71.46939,21.9,68,966.3,6.9,8.4
2018-07-11,17.8,,US Embassy,51.128736,71.46939,21.8,68,965.3,7.9,1.4
2018-07-12,20.2,,US Embassy,51.128736,71.46939,21.1,73,962.6,5.4,2.4
2018-07-13,19.2,,US Embassy,51.128736,71.46939,21.6,73,960.5,5.7,2.5
2018-07-14,33.5,,US Embassy,51.128736,71.46939,21.9,70,960.2,10.2,0.8
2018-07-15,25.9,,US Embassy,51.128736,71.46939,21.1,77,962.5,17.0,5.1
2018-07-16,27.8,,US Embassy,51.128736,71.46939,21.8,60,966.5,21.1,0.3
2018-07-17,24.0,,US Embassy,51.128736,71.46939,21.1,50,970.7,16.4,0.0
2018-07-18,23.5,,US Embassy,51.128736,71.46939,22.1,49,973.0,9.7,0.0
2018-07-19,22.1,,US Embassy,51.128736,71.46939,23.4,47,972.1,5.7,0.0
2018-07-20,24.9,,US Embassy,51.128736,71.46939,24.6,45,969.7,8.8,0.0
2018-07-21,25.9,,US Embassy,51.128736,71.46939,23.0,60,966.5,12.1,2.4
2018-07-22,17.3,,US Embassy,51.128736,71.46939,14.4,77,965.2,22.2,10.4
2018-07-23,26.8,,US Embassy,51.128736,71.46939,11.9,70,964.5,20.4,4.3
2018-07-24,32.1,,US Embassy,51.128736,71.46939,12.3,84,964.2,17.5,6.2
2018-07-25,44.4,,US Embassy,51.128736,71.46939,18.4,66,973.9,11.4,0.0
2018-07-26,23.0,,US Embassy,51.128736,71.46939,19.0,59,978.6,14.8,0.0
2018-07-27,31.6,,US Embassy,51.128736,71.46939,21.5,59,976.6,13.1,0.2
2018-07-28,23.0,,US Embassy,51.128736,71.46939,19.3,56,975.5,11.8,0.0
2018-07-29,16.9,,US Embassy,51.128736,71.46939,21.1,53,974.5,5.0,0.0
2018-07-30,20.7,,US Embassy,51.128736,71.46939,21.5,61,972.9,8.6,0.1
2018-07-31,17.3,,US Embassy,51.128736,71.46939,16.8,79,971.4,19.6,4.4
2018-08-01,19.2,,US Embassy,51.128736,71.46939,14.9,78,969.9,15.1,8.5
2018-08-02,24.9,,US Embassy,51.128736,71.46939,18.6,65,968.1,14.3,0.0
2018-08-03,32.1,,US Embassy,51.128736,71.46939,19.7,70,967.9,10.1,0.1
2018-08-04,34.4,,US Embassy,51.128736,71.46939,21.6,64,966.0,11.2,0.0
2018-08-05,25.9,,US Embassy,51.128736,71.46939,21.2,67,970.7,8.6,0.0
2018-08-06,20.2,,US Embassy,51.128736,71.46939,21.4,70,968.0,10.5,1.7
2018-08-07,26.4,,US Embassy,51.128736,71.46939,20.9,75,965.3,7.9,0.8
2018-08-08,21.6,,US Embassy,51.128736,71.46939,22.5,69,967.6,4.7,0.1
2018-08-09,19.7,,US Embassy,51.128736,71.46939,26.0,48,966.9,11.8,0.0
2018-08-10,20.7,,US Embassy,51.128736,71.46939,22.8,58,964.0,11.0,2.0
2018-08-11,16.9,,US Embassy,51.128736,71.46939,17.1,64,962.8,15.3,4.8
2018-08-12,15.9,,US Embassy,51.128736,71.46939,14.9,61,965.9,18.4,0.1
2018-10-01,33.0,,US Embassy,51.128736,71.46939,11.1,70,974.8,9.3,0.0
2018-10-02,22.6,,US Embassy,51.128736,71.46939,8.0,67,981.1,10.9,1.2
2018-10-03,26.4,,US Embassy,51.128736,71.46939,8.6,62,985.5,7.0,0.0
2018-10-04,19.7,,US Embassy,51.128736,71.46939,11.7,45,980.9,12.1,0.0
2018-10-05,20.2,,US Embassy,51.128736,71.46939,13.7,39,977.8,11.2,0.0
2018-10-06,24.5,,US Embassy,51.128736,71.46939,14.6,39,972.7,15.6,0.0
2018-10-07,18.8,,US Embassy,51.128736,71.46939,8.4,59,980.2,15.9,0.3
2018-10-08,21.6,,US Embassy,51.128736,71.46939,8.6,57,986.8,18.8,0.0
2018-10-09,14.5,,US Embassy,51.128736,71.46939,10.8,62,983.6,17.4,0.0
2018-10-10,32.1,,US Embassy,51.128736,71.46939,7.4,59,982.7,8.0,0.0
2018-10-11,29.2,,US Embassy,51.128736,71.46939,10.0,54,974.9,16.9,0.0
2018-10-12,16.4,,US Embassy,51.128736,71.46939,8.0,70,962.3,18.3,6.4
2018-10-13,19.2,,US Embassy,51.128736,71.46939,1.6,79,963.5,9.2,0.9
2018-10-14,15.0,,US Embassy,51.128736,71.46939,-0.3,72,972.8,15.0,0.9
2018-10-15,28.7,,US Embassy,51.128736,71.46939,-0.3,84,969.8,15.5,4.5
2018-10-16,26.4,,US Embassy,51.128736,71.46939,0.4,89,970.2,17.5,12.3
2018-10-17,19.2,,US Embassy,51.128736,71.46939,-1.6,80,977.6,20.6,4.0
2018-10-18,16.4,,US Embassy,51.128736,71.46939,1.3,89,963.6,22.6,8.0
2018-10-19,15.4,,US Embassy,51.128736,71.46939,-1.0,84,969.4,17.1,2.5
2018-10-20,13.5,,US Embassy,51.128736,71.46939,3.3,87,972.6,13.5,1.2
2018-10-22,21.6,,US Embassy,51.128736,71.46939,1.1,70,977.4,14.4,0.0
2018-10-23,16.4,,US Embassy,51.128736,71.46939,-1.6,69,982.7,9.1,0.0
2018-10-24,23.5,,US Embassy,51.128736,71.46939,1.4,65,980.6,11.2,0.0
2018-10-25,29.7,,US Embassy,51.128736,71.46939,2.7,68,978.3,9.9,0.0
2018-10-26,27.3,,US Embassy,51.128736,71.46939,5.1,65,975.8,10.9,0.0
2018-10-27,18.8,,US Embassy,51.128736,71.46939,8.8,58,968.3,17.3,1.2
2018-10-28,16.9,,US Embassy,51.128736,71.46939,5.0,77,969.8,22.5,2.7
2018-10-29,15.0,,US Embassy,51.128736,71.46939,2.4,82,980.6,28.6,5.2
2018-10-30,22.1,,US Embassy,51.128736,71.46939,1.2,85,978.4,15.2,6.9
2018-10-31,21.1,,US Embassy,51.128736,71.46939,-4.6,60,987.4,13.3,0.1
2018-11-01,17.3,,US Embassy,51.128736,71.46939,-5.3,68,992.8,12.1,0.4
2018-11-02,15.0,,US Embassy,51.128736,71.46939,-3.4,72,991.2,19.7,0.5
2018-11-03,25.9,,US Embassy,51.128736,71.46939,-0.6,85,986.4,12.5,2.6
2018-11-04,32.1,,US Embassy,51.128736,71.46939,0.4,85,989.2,12.3,0.0
2018-11-05,16.4,,US Embassy,51.128736,71.46939,1.5,73,980.8,22.2,0.0
2018-11-06,24.0,,US Embassy,51.128736,71.46939,0.8,82,978.2,12.2,1.6
2018-11-07,21.6,,US Embassy,51.128736,71.46939,-0.5,79,976.5,11.3,0.2
2018-11-08,17.3,,US Embassy,51.128736,71.46939,-0.2,83,969.9,21.0,4.3
2018-11-09,34.4,,US Embassy,51.128736,71.46939,-6.2,64,976.3,15.1,2.5
2018-11-10,55.5,,US Embassy,51.128736,71.46939,-12.7,50,984.8,8.8,0.0
2018-11-11,43.6,,US Embassy,51.128736,71.46939,-12.7,63,990.3,9.8,0.0
2018-11-12,24.5,,US Embassy,51.128736,71.46939,-11.6,74,994.3,14.6,0.0
2018-11-13,18.3,,US Embassy,51.128736,71.46939,-9.1,74,991.2,11.6,0.0
2018-11-14,17.8,,US Embassy,51.128736,71.46939,-9.0,81,992.3,10.6,0.0
2018-11-15,16.4,,US Embassy,51.128736,71.46939,-9.6,75,993.6,11.9,0.0
2018-11-16,17.3,,US Embassy,51.128736,71.46939,-12.5,79,995.4,9.4,0.0
2018-11-17,17.8,,US Embassy,51.128736,71.46939,-10.8,84,982.9,12.6,0.9
2018-11-18,35.4,,US Embassy,51.128736,71.46939,-5.9,87,979.0,10.7,1.1
2018-11-19,23.0,,US Embassy,51.128736,71.46939,-7.5,86,985.9,9.7,0.0
2018-11-20,21.6,,US Embassy,51.128736,71.46939,-7.5,85,979.4,9.9,1.0
2018-11-21,20.2,,US Embassy,51.128736,71.46939,-4.2,91,973.5,15.4,1.4
2018-11-22,18.3,,US Embassy,51.128736,71.46939,-1.8,90,960.0,22.3,4.4
2018-11-23,15.9,,US Embassy,51.128736,71.46939,-5.1,86,965.9,17.2,2.1
2018-11-24,19.2,,US Embassy,51.128736,71.46939,-5.7,84,960.2,24.3,8.2
2018-11-25,16.9,,US Embassy,51.128736,71.46939,-10.2,80,980.0,27.2,1.2
2018-11-26,17.3,,US Embassy,51.128736,71.46939,-10.1,81,978.9,18.3,0.3
2018-11-27,21.1,,US Embassy,51.128736,71.46939,-11.5,73,974.2,12.2,0.0
2018-11-28,16.4,,US Embassy,51.128736,71.46939,-4.8,86,978.4,15.9,1.4
2018-11-29,17.3,,US Embassy,51.128736,71.46939,-1.6,89,969.3,27.8,6.5
2018-11-30,24.0,,US Embassy,51.128736,71.46939,-14.9,78,978.0,18.9,1.2
2018-12-01,21.6,,US Embassy,51.128736,71.46939,-15.0,81,988.0,18.5,2.1
2018-12-02,38.7,,US Embassy,51.128736,71.46939,-13.1,86,994.3,7.8,0.0
2018-12-03,31.6,,US Embassy,51.128736,71.46939,-12.0,84,992.3,7.0,0.0
2018-12-04,51.7,,US Embassy,51.128736,71.46939,-10.6,85,996.3,9.6,0.0
2018-12-05,40.8,,US Embassy,51.128736,71.46939,-12.8,80,993.7,9.0,0.0
2018-12-06,269.7,,US Embassy,51.128736,71.46939,-19.0,76,987.5,8.4,0.0
2018-12-07,314.1,,US Embassy,51.128736,71.46939,-20.9,72,982.9,9.2,0.0
2018-12-08,277.7,,US Embassy,51.128736,71.46939,-18.5,70,981.4,8.4,0.0
2018-12-09,74.9,,US Embassy,51.128736,71.46939,-14.0,69,980.1,10.0,0.0
2018-12-10,55.5,,US Embassy,51.128736,71.46939,-8.7,82,978.3,4.5,1.3
2018-12-11,63.2,,US Embassy,51.128736,71.46939,-8.9,87,981.3,6.4,0.7
2018-12-13,40.4,,US Embassy,51.128736,71.46939,-13.8,82,986.6,7.4,0.0
2018-12-14,27.3,,US Embassy,51.128736,71.46939,-10.9,92,985.7,7.0,0.0
2018-12-15,43.2,,US Embassy,51.128736,71.46939,-6.3,90,981.7,8.7,0.2
2018-12-16,26.8,,US Embassy,51.128736,71.46939,-5.7,90,980.8,11.0,0.0
2018-12-17,18.8,,US Embassy,51.128736,71.46939,-6.7,90,986.0,9.7,0.0
2018-12-18,39.2,,US Embassy,51.128736,71.46939,-8.6,91,985.1,5.6,0.0
2018-12-19,22.1,,US Embassy,51.128736,71.46939,-9.1,85,983.2,14.8,0.5
2018-12-20,86.5,,US Embassy,51.128736,71.46939,-15.8,83,995.9,10.1,0.0
2018-12-21,49.7,,US Embassy,51.128736,71.46939,-26.0,80,1000.4,8.1,0.0
2018-12-22,47.7,,US Embassy,51.128736,71.46939,-27.6,70,987.5,8.6,0.0
2018-12-23,39.2,,US Embassy,51.128736,71.46939,-20.0,73,983.7,7.9,0.0
2018-12-24,59.4,,US Embassy,51.128736,71.46939,-22.0,78,992.6,13.8,0.1
2018-12-25,109.7,,US Embassy,51.128736,71.46939,-29.4,73,995.2,12.5,0.0
2018-12-26,189.9,,US Embassy,51.128736,71.46939,-24.7,68,994.5,11.0,0.0
2018-12-27,140.7,,US Embassy,51.128736,71.46939,-23.1,69,991.2,10.6,0.0
2018-12-28,30.6,,US Embassy,51.128736,71.46939,-15.8,71,983.2,17.7,0.0
2018-12-29,22.6,,US Embassy,51.128736,71.46939,-10.1,74,973.1,16.6,0.0
2018-12-30,23.5,,US Embassy,51.128736,71.46939,-8.8,85,976.2,14.7,2.8
2019-01-01,31.1,,US Embassy,51.128736,71.46939,-16.1,83,990.2,9.4,0.0
2019-01-02,43.2,,US Embassy,51.128736,71.46939,-19.5,85,987.7,6.1,0.0
2019-01-03,179.8,,US Embassy,51.128736,71.46939,-19.8,85,989.2,7.7,0.0
2019-01-04,196.9,,US Embassy,51.128736,71.46939,-20.5,84,987.0,7.9,0.0
2019-01-05,80.7,,US Embassy,51.128736,71.46939,-20.4,84,991.8,6.7,0.0
2019-01-06,27.3,,US Embassy,51.128736,71.46939,-17.2,78,988.3,14.8,0.0
2019-01-07,27.8,,US Embassy,51.128736,71.46939,-11.4,83,974.9,11.9,0.0
2019-01-08,45.2,,US Embassy,51.128736,71.46939,-11.6,81,966.7,6.5,0.2
2019-01-09,31.1,,US Embassy,51.128736,71.46939,-10.5,84,971.7,16.7,0.3
2019-01-10,107.8,,US Embassy,51.128736,71.46939,-20.5,83,979.5,5.7,0.0
2019-01-11,119.4,,US Embassy,51.128736,71.46939,-19.2,81,980.8,6.5,0.0
2019-01-12,47.7,,US Embassy,51.128736,71.46939,-18.3,83,984.8,11.1,0.0
2019-01-13,23.0,,US Embassy,51.128736,71.46939,-11.0,85,985.6,17.0,0.0
2019-01-14,20.2,,US Embassy,51.128736,71.46939,-6.2,78,973.6,20.7,0.0
2019-01-15,46.9,,US Embassy,51.128736,71.46939,-6.0,87,969.1,8.9,0.0
2019-01-16,127.2,,US Embassy,51.128736,71.46939,-8.3,89,978.8,6.8,0.0
2019-01-17,121.3,,US Embassy,51.128736,71.46939,-8.7,88,982.9,10.2,0.0
2019-01-18,26.8,,US Embassy,51.128736,71.46939,-6.8,87,977.4,13.9,0.0
2019-01-19,27.3,,US Embassy,51.128736,71.46939,-5.9,83,974.3,13.6,0.0
2019-01-20,30.2,,US Embassy,51.128736,71.46939,-0.9,94,974.1,10.4,0.0
2019-01-21,26.4,,US Embassy,51.128736,71.46939,-2.8,91,973.5,15.5,1.4
2019-01-22,34.9,,US Embassy,51.128736,71.46939,-8.5,85,983.8,9.5,0.0
2019-01-23,21.6,,US Embassy,51.128736,71.46939,-7.4,87,980.8,12.4,0.0
2019-01-24,23.5,,US Embassy,51.128736,71.46939,-9.2,85,980.7,18.2,1.0
2019-01-25,35.5,,US Embassy,51.128736,71.46939,-19.9,78,989.7,12.2,0.0
2019-01-26,24.5,,US Embassy,51.128736,71.46939,-7.3,84,978.6,21.3,1.1
2019-01-27,42.8,,US Embassy,51.128736,71.46939,-22.1,78,988.5,11.3,0.0
2019-01-28,150.4,,US Embassy,51.128736,71.46939,-25.4,78,997.3,10.2,0.0
2019-01-29,30.6,,US Embassy,51.128736,71.46939,-18.3,63,990.0,13.9,0.0
2019-01-30,30.6,,US Embassy,51.128736,71.46939,-13.0,62,975.8,12.0,0.0
2019-01-31,49.3,,US Embassy,51.128736,71.46939,-14.0,78,974.3,19.1,2.0
2019-02-01,50.9,,US Embassy,51.128736,71.46939,-23.0,75,990.7,8.8,0.0
2019-02-02,30.2,,US Embassy,51.128736,71.46939,-15.5,75,985.7,13.5,0.0
2019-02-03,49.7,,US Embassy,51.128736,71.46939,-17.2,79,983.3,7.4,0.0
2019-02-04,98.1,,US Embassy,51.128736,71.46939,-17.0,79,983.0,14.9,0.0
2019-02-05,46.5,,US Embassy,51.128736,71.46939,-20.4,75,975.0,28.6,6.8
2019-02-06,44.4,,US Embassy,51.128736,71.46939,-28.6,71,990.3,14.4,0.1
2019-02-07,67.1,,US Embassy,51.128736,71.46939,-30.6,74,995.2,6.9,0.0
2019-02-08,115.5,,US Embassy,51.128736,71.46939,-27.9,71,991.8,10.2,0.0
2019-02-09,25.9,,US Embassy,51.128736,71.46939,-16.9,75,980.1,14.2,2.4
2019-02-10,45.7,,US Embassy,51.128736,71.46939,-16.1,81,979.2,9.4,0.1
2019-02-11,40.4,,US Embassy,51.128736,71.46939,-18.2,81,981.4,7.8,0.3
2019-02-12,38.7,,US Embassy,51.128736,71.46939,-15.0,83,987.6,7.1,0.0
2019-02-13,105.9,,US Embassy,51.128736,71.46939,-14.5,88,991.4,3.9,0.0
2019-02-14,240.3,,US Embassy,51.128736,71.46939,-11.6,85,987.6,8.9,0.0
2019-02-15,27.8,,US Embassy,51.128736,71.46939,-9.4,76,978.5,12.8,0.0
2019-02-16,22.6,,US Embassy,51.128736,71.46939,-3.2,88,972.4,19.6,0.9
2019-02-17,23.5,,US Embassy,51.128736,71.46939,0.1,93,961.0,14.0,2.5
2019-02-18,20.7,,US Embassy,51.128736,71.46939,-3.5,87,956.3,21.1,2.5
2019-02-19,17.3,,US Embassy,51.128736,71.46939,-2.8,86,961.2,22.1,1.9
2019-02-20,19.7,,US Embassy,51.128736,71.46939,-4.1,88,968.3,12.5,2.0
2019-02-21,19.2,,US Embassy,51.128736,71.46939,-8.3,82,980.5,19.4,0.1
2019-02-22,18.8,,US Embassy,51.128736,71.46939,-10.6,81,989.5,16.1,0.0
2019-02-23,21.6,,US Embassy,51.128736,71.46939,-11.5,78,984.7,14.4,0.0
2019-02-24,20.2,,US Embassy,51.128736,71.46939,-9.4,83,977.8,14.5,0.0
2019-02-25,24.0,,US Embassy,51.128736,71.46939,-10.5,83,976.7,17.0,0.0
2019-02-26,24.0,,US Embassy,51.128736,71.46939,-6.4,88,967.6,13.8,3.0
2019-02-27,18.3,,US Embassy,51.128736,71.46939,-6.4,84,967.5,11.8,0.0
2019-02-28,82.6,,US Embassy,51.128736,71.46939,-8.3,87,961.7,8.5,0.5
2019-03-01,32.1,,US Embassy,51.128736,71.46939,-7.7,87,966.1,9.7,0.0
2019-03-02,82.6,,US Embassy,51.128736,71.46939,-5.1,86,963.1,13.6,1.3
2019-03-03,19.7,,US Embassy,51.128736,71.46939,-0.4,86,961.2,32.2,2.0
2019-03-04,17.8,,US Embassy,51.128736,71.46939,-2.8,86,967.1,17.4,3.4
2019-03-05,15.9,,US Embassy,51.128736,71.46939,-8.2,77,975.7,22.1,0.3
2019-03-06,16.9,,US Embassy,51.128736,71.46939,-3.1,89,979.7,17.2,0.0
2019-03-07,20.2,,US Embassy,51.128736,71.46939,-4.2,82,980.5,15.8,0.0
2019-03-08,32.5,,US Embassy,51.128736,71.46939,-6.2,83,982.9,6.4,0.0
2019-03-09,54.2,,US Embassy,51.128736,71.46939,-9.1,82,988.9,6.0,0.0
2019-03-10,46.1,,US Embassy,51.128736,71.46939,-9.3,85,983.9,9.5,0.0
2019-03-11,27.3,,US Embassy,51.128736,71.46939,-5.7,82,981.9,12.2,0.0
2019-03-12,26.4,,US Embassy,51.128736,71.46939,-4.8,80,981.5,12.7,0.0
2019-03-13,23.5,,US Embassy,51.128736,71.46939,-2.3,82,980.3,14.4,0.0
2019-03-14,23.0,,US Embassy,51.128736,71.46939,-1.8,85,977.1,15.0,0.0
2019-03-15,24.5,,US Embassy,51.128736,71.46939,0.7,81,969.7,18.8,0.8
2019-03-16,17.8,,US Embassy,51.128736,71.46939,-5.3,75,978.1,13.7,0.0
2019-03-17,47.7,,US Embassy,51.128736,71.46939,-8.9,76,981.9,8.1,0.0
2019-03-18,41.2,,US Embassy,51.128736,71.46939,-7.4,81,985.9,19.2,0.0
2019-03-19,32.1,,US Embassy,51.128736,71.46939,-7.3,77,986.5,14.6,0.0
2019-03-20,22.6,,US Embassy,51.128736,71.46939,-4.5,74,985.7,15.8,0.0
2019-03-21,20.7,,US Embassy,51.128736,71.46939,-2.6,79,981.1,12.9,0.0
2019-03-22,20.2,,US Embassy,51.128736,71.46939,-1.4,83,977.0,10.1,0.0
2019-03-23,26.8,,US Embassy,51.128736,71.46939,1.1,90,975.4,6.7,1.3
2019-03-26,23.5,,US Embassy,51.128736,71.46939,2.5,89,976.5,12.5,3.4
2019-03-27,35.4,,US Embassy,51.128736,71.46939,1.7,79,980.4,13.3,1.1
2019-03-28,53.8,,US Embassy,51.128736,71.46939,2.4,82,976.7,19.0,3.5
2019-03-30,22.6,,US Embassy,51.128736,71.46939,3.8,79,976.9,12.8,0.0
2019-03-31,19.7,,US Embassy,51.128736,71.46939,1.9,86,974.5,14.0,1.7
2019-04-01,94.2,,US Embassy,51.128736,71.46939,2.3,73,976.9,7.3,0.0
2019-04-02,42.0,,US Embassy,51.128736,71.46939,4.3,67,980.1,7.3,0.0
2019-04-03,35.5,,US Embassy,51.128736,71.46939,7.4,71,974.6,13.8,0.0
2019-04-04,19.7,,US Embassy,51.128736,71.46939,6.8,83,973.3,9.8,3.5
2019-04-05,23.5,,US Embassy,51.128736,71.46939,3.9,92,975.4,13.1,1.6
2019-04-06,26.4,,US Embassy,51.128736,71.46939,3.0,68,985.4,8.7,0.0
2019-04-07,34.9,,US Embassy,51.128736,71.46939,3.3,64,988.1,7.2,0.0
