date,station_name,latitude,longitude,PM2.5,PM10,temperature,humidity,pressure,wind_speed,precipitation,dayofweek,month,day
2024-12-14,US Embassy,51.128736,71.46939,12.0,6.5,-3.1,84,967.3,17.8,2.2,5,12,14
2024-12-17,US Embassy,51.128736,71.46939,3.8,8.6,-12.8,74,983.7,22.3,0.0,1,12,17
2024-12-18,US Embassy,51.128736,71.46939,7.0,9.7,-8.5,78,970.7,22.3,0.6,2,12,18
2024-12-19,US Embassy,51.128736,71.46939,10.6,8.6,-2.4,87,966.3,26.0,3.9,3,12,19
2024-12-20,US Embassy,51.128736,71.46939,6.2,9.7,-6.7,87,969.6,20.8,1.3,4,12,20
2024-12-21,US Embassy,51.128736,71.46939,8.2,7.6,-11.4,86,981.9,17.9,1.9,5,12,21
2024-12-22,US Embassy,51.128736,71.46939,6.0,9.7,-10.3,87,985.5,19.7,5.3,6,12,22
2024-12-23,US Embassy,51.128736,71.46939,10.6,11.9,-6.0,91,988.4,12.4,1.1,0,12,23
2024-12-24,US Embassy,51.128736,71.46939,13.5,43.2,-6.5,88,992.6,6.1,0.0,1,12,24
2024-12-25,US Embassy,51.128736,71.46939,39.6,11.9,-10.3,90,994.0,7.0,0.0,2,12,25
2024-12-26,US Embassy,51.128736,71.46939,9.8,8.6,-12.0,76,987.2,12.2,0.0,3,12,26
2024-12-27,US Embassy,51.128736,71.46939,7.0,8.6,-11.4,85,980.2,19.7,0.0,4,12,27
2024-12-28,US Embassy,51.128736,71.46939,8.6,6.5,-5.2,90,980.5,21.9,2.3,5,12,28
2024-12-29,US Embassy,51.128736,71.46939,4.3,,-7.9,90,978.7,15.5,0.7,6,12,29
2025-01-01,US Embassy,51.128736,71.46939,11.3,6.5,-10.9,85,976.3,19.4,0.0,2,1,1
2025-01-02,US Embassy,51.128736,71.46939,5.8,6.5,-6.6,87,972.6,28.9,3.2,3,1,2
2025-01-03,US Embassy,51.128736,71.46939,4.8,3.2,-4.5,89,974.8,31.9,2.0,4,1,3
2025-01-04,US Embassy,51.128736,71.46939,3.1,7.6,-3.2,93,980.2,19.0,0.0,5,1,4
2025-01-05,US Embassy,51.128736,71.46939,5.5,10.8,-5.7,92,981.6,14.1,0.0,6,1,5
2025-01-06,US Embassy,51.128736,71.46939,8.4,11.9,-5.2,90,982.5,17.1,0.0,0,1,6
2025-01-07,US Embassy,51.128736,71.46939,11.0,10.8,-4.1,91,979.9,10.9,3.5,1,1,7
2025-01-08,US Embassy,51.128736,71.46939,11.3,6.5,-12.9,82,989.9,17.2,2.6,2,1,8
