date,min,max,median,q1,q3,stdev,count
2025-03-17T00:00:00.000Z,4.93,10.5,7.13,6.36,7.73,1.291,16
2025-03-18T00:00:00.000Z,3.54,11.06,6.34,5.19,9.09,2.202,24
2025-03-19T00:00:00.000Z,4.9,9.69,7.38,5.97,8.43,1.478,24
2025-03-20T00:00:00.000Z,5.26,16.42,7.2,5.87,8.34,2.644,24
2025-03-21T00:00:00.000Z,3.59,12.68,9.47,6.86,11.77,2.888,24
2025-03-22T00:00:00.000Z,11.77,11.77,11.77,11.77,11.77,0,24
2025-03-23T00:00:00.000Z,11.77,11.77,11.77,11.77,11.77,0,21
2025-03-24T00:00:00.000Z,11.77,11.77,11.77,11.77,11.77,0,5
2025-03-25T00:00:00.000Z,11.77,11.77,11.77,11.77,11.77,0,24
2025-03-26T00:00:00.000Z,11.77,11.77,11.77,11.77,11.77,0,24
2025-03-27T00:00:00.000Z,11.77,11.77,11.77,11.77,11.77,0,10
2025-03-28T00:00:00.000Z,5.73,14.34,14.34,11.77,14.34,2.702,17
2025-03-29T00:00:00.000Z,14.34,14.34,14.34,14.34,14.34,0,24
2025-03-30T00:00:00.000Z,14.34,14.34,14.34,14.34,14.34,0,24
2025-03-31T00:00:00.000Z,7.39,17.48,13.1,9.15,14.34,2.913,24
2025-04-01T00:00:00.000Z,4.22,82.16,14.32,9.67,32.96,17.268,24
2025-04-02T00:00:00.000Z,4.53,28.32,13.75,10.73,20.87,6.813,24
2025-04-03T00:00:00.000Z,5.66,10.4,8.68,7.44,9.71,1.28,24
2025-04-04T00:00:00.000Z,1.66,11.4,7.81,6.32,8.9,2.316,24
2025-04-05T00:00:00.000Z,2.54,7.83,5.32,3.92,5.95,1.438,24
2025-04-06T00:00:00.000Z,2.84,38.5,8.14,5.8,11.33,9.734,24
2025-04-07T00:00:00.000Z,3.01,12.49,6.45,4.91,9.48,2.977,24
2025-04-08T00:00:00.000Z,4.48,32.76,10.84,8.61,15.63,7.25,24
2025-04-09T00:00:00.000Z,3.02,40.4,13.87,8.9,24.52,10.451,24
2025-04-10T00:00:00.000Z,2.76,11.75,8.02,6.03,9.44,2.275,24
2025-04-11T00:00:00.000Z,3.06,7.59,5.25,4.04,6.22,1.328,24
2025-04-12T00:00:00.000Z,2.29,18.46,6.25,4.5,7.44,4.158,24
2025-04-13T00:00:00.000Z,3.99,11.29,7.43,6.08,8.73,1.809,24
2025-04-14T00:00:00.000Z,9.33,15.27,12.82,10.48,14.56,2.035,9
2025-04-15T00:00:00.000Z,3.89,11.94,8.68,7.5,10.6,2.08,17
2025-04-16T00:00:00.000Z,2.14,11.52,5.49,4.07,7.75,2.346,24
2025-04-17T00:00:00.000Z,2.31,40.78,6.46,4.54,9.92,8.743,24
2025-04-18T00:00:00.000Z,2.25,9.46,6.77,5.09,7.94,1.808,24
2025-04-19T00:00:00.000Z,3.45,9.48,5.03,4.17,7.1,1.796,22
2025-04-20T00:00:00.000Z,3.84,12.1,8.31,6.69,9.97,2.486,24
2025-04-21T00:00:00.000Z,4.21,14.8,9.11,6.55,10.39,2.735,24
2025-04-22T00:00:00.000Z,3.99,12.11,8.05,6.84,9.61,1.968,23
2025-04-23T00:00:00.000Z,5.15,15.48,8.16,6.51,9.77,2.497,24
2025-04-24T00:00:00.000Z,3.57,11.44,5.92,4.63,7.34,2.058,24
2025-04-25T00:00:00.000Z,3.09,8.94,6.65,5.42,7.46,1.58,24
2025-04-26T00:00:00.000Z,2.59,12.51,6.98,4.59,7.92,2.279,24
2025-04-27T00:00:00.000Z,0.48,8.21,6.05,0.48,7.23,3.103,24
2025-04-28T00:00:00.000Z,0.48,0.48,0.48,0.48,0.48,0,24
2025-04-29T00:00:00.000Z,0.34,68.91,13.59,0.48,24.11,15.805,24
2025-04-30T00:00:00.000Z,0,24.11,24.11,24.11,24.11,7.204,10
2025-05-02T00:00:00.000Z,5.14,18.03,6.74,6.27,9.3,3.347,12
2025-05-03T00:00:00.000Z,2.37,7.11,4.8,3.68,6.58,1.563,21
2025-05-04T00:00:00.000Z,2.6,7.3,5.55,4.29,6.41,1.276,24
2025-05-05T00:00:00.000Z,3.18,8.21,5.88,4.58,6.87,1.321,24
2025-05-06T00:00:00.000Z,3.55,10.48,5.51,4.54,7.38,1.913,24
2025-05-07T00:00:00.000Z,2.58,12.68,5.55,4.48,7.49,2.598,24
2025-05-08T00:00:00.000Z,1.57,13.7,5.53,3.33,8.18,3.186,24
2025-05-09T00:00:00.000Z,1.2,9.02,4.34,3.43,5.36,1.906,24
2025-05-10T00:00:00.000Z,1.79,12.28,5.68,4.43,6.92,2.419,24
2025-05-11T00:00:00.000Z,1.2,6.08,3,2.08,4.05,1.317,24
2025-05-12T00:00:00.000Z,1.49,7.28,3.19,2.47,4.71,1.584,24
2025-05-13T00:00:00.000Z,1.03,8.09,3.91,2.49,5.67,1.92,24
2025-05-14T00:00:00.000Z,2.21,15.35,5.05,2.87,7.22,3.12,24
2025-05-15T00:00:00.000Z,2.5,9.31,6.22,4.49,7.53,1.766,24
2025-05-16T00:00:00.000Z,3.9,10.31,7.01,5.9,8.86,1.768,24
2025-05-17T00:00:00.000Z,2.41,11.43,6.32,4.58,7.52,2.449,24
2025-05-18T00:00:00.000Z,2.43,9.08,4.71,3.65,6.07,1.646,24
2025-05-19T00:00:00.000Z,1.85,8.27,2.94,2.38,5.32,1.838,24
2025-05-20T00:00:00.000Z,1.54,5.82,4.72,3.18,5.25,1.335,24
2025-05-21T00:00:00.000Z,1.54,8.32,4.43,3.22,5.43,1.891,24
2025-05-22T00:00:00.000Z,1.64,9.51,5.37,2.83,7.41,2.495,24
2025-05-23T00:00:00.000Z,1.12,6.06,3.28,2.68,4.24,1.18,24
2025-05-24T00:00:00.000Z,1,5.87,4.15,2.64,5.11,1.365,24
2025-05-25T00:00:00.000Z,1.51,9.48,4.97,3.56,6.11,2.013,24
2025-05-26T00:00:00.000Z,0.86,6.7,3.93,2.72,5.67,1.623,24
2025-05-27T00:00:00.000Z,1.45,10.81,3.92,2.98,4.74,1.941,24
2025-05-28T00:00:00.000Z,1.26,6.77,4.32,3.29,5.5,1.607,24
2025-05-29T00:00:00.000Z,1.89,8.86,5.17,3.76,5.64,1.653,24
2025-05-30T00:00:00.000Z,3.78,11.21,6.43,5.18,7.89,1.864,24
2025-05-31T00:00:00.000Z,5.9,13.09,7.74,6.11,8.36,1.897,24
2025-06-01T00:00:00.000Z,2.19,7.43,4.76,3.75,5.3,1.355,24
2025-06-02T00:00:00.000Z,1.57,8.3,5.94,4.28,7.23,1.805,24
2025-06-03T00:00:00.000Z,2.23,9.77,5.69,4.29,6.44,1.657,24
2025-06-04T00:00:00.000Z,0.78,12.42,5.05,3.81,7.66,2.854,24
2025-06-05T00:00:00.000Z,1.1,10.4,5.75,4.46,7.74,2.332,24
2025-06-06T00:00:00.000Z,2.68,8.24,6.39,5.49,7.33,1.331,24
2025-06-07T00:00:00.000Z,2.1,10.99,6.97,5.69,8.21,1.875,24
2025-06-08T00:00:00.000Z,1.24,6.81,3.98,2.86,5.15,1.62,24
2025-06-09T00:00:00.000Z,3.03,8.23,4.63,3.49,6,1.659,24
2025-06-10T00:00:00.000Z,2.7,6.28,4.48,4,5.2,1.022,18
2025-06-11T00:00:00.000Z,1.04,7.42,4.2,3.17,5.45,1.596,24
2025-06-12T00:00:00.000Z,0.43,10.02,4.01,2.13,5.55,2.317,24
2025-06-13T00:00:00.000Z,0.44,3.79,2.09,0.86,3.16,1.152,24
2025-06-14T00:00:00.000Z,0.48,4.42,2.13,0.93,3.07,1.182,24
2025-06-15T00:00:00.000Z,0.43,4.21,1.46,0.74,2.4,1.207,18
2025-06-16T00:00:00.000Z,0.48,5.12,2.48,1.46,3.49,1.323,24
2025-06-17T00:00:00.000Z,0.49,4.8,1.58,0.95,2.48,1.173,24
2025-06-18T00:00:00.000Z,0.45,3.44,1.72,1.1,2.33,0.833,24
2025-06-19T00:00:00.000Z,0.46,5.77,1.67,1.06,3.05,1.343,24
2025-06-20T00:00:00.000Z,0.49,4.57,1.59,0.8,2.77,1.216,24
2025-06-21T00:00:00.000Z,0.53,3.24,1.64,1,1.94,0.706,23
2025-06-22T00:00:00.000Z,0.49,4.42,1.67,0.69,2.81,1.109,24
