  date,min,max,median,q1,q3,stdev,count
  2025-03-17T00:00:00.000Z,1.28,5.09,3.16,2.42,3.43,0.855,16
  2025-03-18T00:00:00.000Z,1.5,5.09,3,2.23,3.63,0.943,24
  2025-03-19T00:00:00.000Z,1.38,5.05,2.98,2.22,3.88,1.02,24
  2025-03-20T00:00:00.000Z,1.03,5.43,2.27,2.02,3.29,1.145,24
  2025-03-21T00:00:00.000Z,0.64,5.32,3.33,2.23,4.7,1.244,24
  2025-03-22T00:00:00.000Z,4.7,4.7,4.7,4.7,4.7,0,24
  2025-03-23T00:00:00.000Z,4.7,4.7,4.7,4.7,4.7,0,21
  2025-03-24T00:00:00.000Z,4.7,4.7,4.7,4.7,4.7,0,5
  2025-03-25T00:00:00.000Z,4.7,4.7,4.7,4.7,4.7,0,24
  2025-03-26T00:00:00.000Z,4.7,4.7,4.7,4.7,4.7,0,24
  2025-03-27T00:00:00.000Z,4.7,4.7,4.7,4.7,4.7,0,10
  2025-03-28T00:00:00.000Z,0,3.66,3.41,1.08,3.41,1.423,17
  2025-03-29T00:00:00.000Z,3.41,3.41,3.41,3.41,3.41,0,24
  2025-03-30T00:00:00.000Z,3.41,3.41,3.41,3.41,3.41,0,24
  2025-03-31T00:00:00.000Z,0.6,5.89,3.41,1.64,3.46,1.373,24
  2025-04-01T00:00:00.000Z,0.71,5.5,2.56,2.13,3.68,1.185,24
  2025-04-02T00:00:00.000Z,0.49,4.63,2.64,1.28,3.41,1.258,24
  2025-04-03T00:00:00.000Z,0.59,4.04,2.2,1.17,2.9,1.037,24
  2025-04-04T00:00:00.000Z,0.84,4.05,2.31,1.37,3.14,0.964,24
  2025-04-05T00:00:00.000Z,0.7,3.2,1.78,1.13,2.49,0.72,24
  2025-04-06T00:00:00.000Z,0.56,5.44,2.82,1.55,3.34,1.349,24
  2025-04-07T00:00:00.000Z,0.64,4.74,1.63,1.12,2.99,1.194,24
  2025-04-08T00:00:00.000Z,0.73,6.58,2.4,1.56,3.62,1.445,24
  2025-04-09T00:00:00.000Z,0.5,6.33,2.54,2.02,4.32,1.591,24
  2025-04-10T00:00:00.000Z,0.46,5.59,1.88,1.3,2.36,1.158,24
  2025-04-11T00:00:00.000Z,0.72,3.86,1.5,1.11,1.99,0.728,24
  2025-04-12T00:00:00.000Z,0.86,4.59,1.63,1.14,1.96,0.896,24
  2025-04-13T00:00:00.000Z,0.75,3.93,2.06,1.48,2.54,0.742,24
  2025-04-14T00:00:00.000Z,1.62,4.59,2.9,2.29,3.29,0.815,9
  2025-04-15T00:00:00.000Z,0.68,3.71,1.67,1.22,2.92,0.957,17
  2025-04-16T00:00:00.000Z,0.64,3.2,1.65,1.24,2.11,0.671,24
  2025-04-17T00:00:00.000Z,0.64,5.55,1.96,1.24,2.4,0.979,24
  2025-04-18T00:00:00.000Z,0.56,3.35,1.19,0.81,1.64,0.637,24
  2025-04-19T00:00:00.000Z,0.89,2.52,1.44,1.31,1.78,0.412,22
  2025-04-20T00:00:00.000Z,0.48,4.38,1.56,0.91,2.17,1.125,24
  2025-04-21T00:00:00.000Z,0.5,3.39,1.12,0.86,1.67,0.714,24
  2025-04-22T00:00:00.000Z,0.45,4.11,1.1,0.76,2.56,1.07,23
  2025-04-23T00:00:00.000Z,0.56,4.33,1.52,0.87,2.52,0.934,24
  2025-04-24T00:00:00.000Z,1.25,2.86,2,1.58,2.22,0.432,24
  2025-04-25T00:00:00.000Z,0.53,2.87,1.69,1.13,2.12,0.657,24
  2025-04-26T00:00:00.000Z,0.46,3.3,1.78,1.18,2.27,0.69,24
  2025-04-27T00:00:00.000Z,0.74,3.47,1.74,0.74,2.23,0.801,24
  2025-04-28T00:00:00.000Z,0.74,0.74,0.74,0.74,0.74,0,24
  2025-04-29T00:00:00.000Z,0.74,53.54,1.09,0.74,1.18,10.481,24
  2025-04-30T00:00:00.000Z,0,1.12,1.12,1.12,1.12,0.333,10
  2025-05-02T00:00:00.000Z,4.08,8.64,5.69,5.22,7.32,1.439,12
  2025-05-03T00:00:00.000Z,1.7,6.8,3.78,2.89,5.4,1.389,21
  2025-05-04T00:00:00.000Z,2.22,6.44,4.5,3.28,5.2,1.143,24
  2025-05-05T00:00:00.000Z,2.82,6.46,4.86,3.8,5.6,1.057,24
  2025-05-06T00:00:00.000Z,2.27,8.36,4.26,3.63,5.91,1.68,24
  2025-05-07T00:00:00.000Z,2.21,10.18,4.28,3.51,5.68,2.095,24
  2025-05-08T00:00:00.000Z,1.04,9.8,4.43,2.9,6.11,2.523,24
  2025-05-09T00:00:00.000Z,0.81,7.06,3.35,2.58,4.23,1.591,24
  2025-05-10T00:00:00.000Z,1.54,9.07,4.62,3.65,5.33,1.754,24
  2025-05-11T00:00:00.000Z,1.02,4.97,2.49,1.75,3.37,1.102,24
  2025-05-12T00:00:00.000Z,1.06,5.55,2.41,2,3.76,1.218,24
  2025-05-13T00:00:00.000Z,0.83,5.76,3.04,1.92,3.88,1.357,24
  2025-05-14T00:00:00.000Z,1.47,8.36,4.08,2.48,4.86,1.86,24
  2025-05-15T00:00:00.000Z,1.39,7.35,3.93,2.89,4.98,1.478,24
  2025-05-16T00:00:00.000Z,2.09,10.15,4.8,4.22,7,1.897,24
  2025-05-17T00:00:00.000Z,1.08,7.96,4.86,2.83,5.56,1.936,24
  2025-05-18T00:00:00.000Z,1.82,6.81,3.9,2.75,5.08,1.43,24
  2025-05-19T00:00:00.000Z,0.91,5.5,2.52,1.71,4.05,1.303,24
  2025-05-20T00:00:00.000Z,1.08,4.83,3.55,1.61,4.2,1.295,24
  2025-05-21T00:00:00.000Z,1.15,6.62,3.11,2.42,3.95,1.455,24
  2025-05-22T00:00:00.000Z,1.05,7.35,3.5,2.02,5.65,1.916,24
  2025-05-23T00:00:00.000Z,0.64,4.84,2.48,1.75,3.23,1.065,24
  2025-05-24T00:00:00.000Z,0.56,4.13,2.68,1.9,3.53,0.997,24
  2025-05-25T00:00:00.000Z,1.13,7.53,3.37,2.94,4.47,1.66,24
  2025-05-26T00:00:00.000Z,0.86,5.09,2.91,2.2,4.32,1.313,24
  2025-05-27T00:00:00.000Z,0.97,7.57,2.75,2.16,3.51,1.359,24
  2025-05-28T00:00:00.000Z,1.01,5.25,3.33,2.25,4.32,1.277,24
  2025-05-29T00:00:00.000Z,1.33,7.83,3.42,2.36,4.37,1.503,24
  2025-05-30T00:00:00.000Z,2.73,8.15,5.43,4.05,6.07,1.403,24
  2025-05-31T00:00:00.000Z,4.21,10.33,5.92,4.8,6.6,1.627,24
  2025-06-01T00:00:00.000Z,1.55,5.88,3.62,2.64,4.13,1.058,24
  2025-06-02T00:00:00.000Z,1.58,7.45,4.23,2.92,5.95,1.582,24
  2025-06-03T00:00:00.000Z,1.5,6.93,4.32,3.06,5.16,1.439,24
  2025-06-04T00:00:00.000Z,0.76,10.74,3.74,2.5,5.93,2.448,24
  2025-06-05T00:00:00.000Z,1.21,8.06,4.72,2.89,5.97,1.854,24
